time,throughput
9.23,750400.0
9.23,804000.0
9.231,750400.0
9.232,750400.0
9.25,53600.0
9.251,107200.0
9.252,160800.0
9.253,214400.0
9.253,268000.0
9.254,321600.0
9.255,375200.0
9.256,428800.0
9.256,482400.0
9.257,536000.0
9.258,589600.0
9.259,643200.0
9.259,696800.0
9.26,750400.0
9.261,750400.0
9.262,750400.0
9.263,750400.0
9.263,804000.0
9.264,750400.0
9.265,750400.0
9.266,750400.0
9.266,804000.0
9.267,750400.0
9.268,696800.0
9.286,53600.0
9.287,107200.0
9.288,160800.0
9.289,214400.0
9.289,268000.0
9.29,321600.0
9.291,375200.0
9.292,428800.0
9.292,482400.0
9.293,536000.0
9.294,589600.0
9.295,643200.0
9.295,696800.0
9.296,750400.0
9.297,750400.0
9.298,750400.0
9.299,750400.0
9.299,804000.0
9.3,696800.0
9.301,750400.0
9.302,750400.0
9.302,804000.0
9.303,696800.0
9.304,750400.0
9.305,750400.0
9.322,53600.0
9.323,107200.0
9.324,160800.0
9.325,214400.0
9.325,268000.0
9.326,321600.0
9.327,375200.0
9.328,428800.0
9.328,482400.0
9.329,536000.0
9.33,589600.0
9.331,643200.0
9.331,696800.0
9.332,696800.0
9.333,750400.0
9.334,750400.0
9.335,643200.0
9.335,696800.0
9.336,750400.0
9.337,750400.0
9.338,750400.0
9.338,804000.0
9.339,750400.0
9.34,750400.0
9.357,53600.0
9.358,107200.0
9.359,160800.0
9.36,214400.0
9.36,268000.0
9.361,321600.0
9.362,375200.0
9.363,428800.0
9.363,482400.0
9.364,536000.0
9.365,589600.0
9.366,643200.0
9.366,696800.0
9.367,696800.0
9.368,750400.0
9.369,750400.0
9.37,750400.0
9.37,804000.0
9.371,750400.0
9.372,750400.0
9.373,750400.0
9.373,804000.0
9.374,750400.0
9.375,750400.0
9.376,750400.0
9.392,53600.0
9.393,107200.0
9.394,160800.0
9.395,214400.0
9.395,268000.0
9.396,321600.0
9.397,375200.0
9.398,428800.0
9.398,482400.0
9.399,536000.0
9.4,589600.0
9.401,643200.0
9.401,696800.0
9.402,750400.0
9.403,750400.0
9.404,750400.0
9.405,750400.0
9.405,804000.0
9.406,750400.0
9.407,750400.0
9.408,750400.0
