time,bytesRx,mac_address
19.090,536,04-07-07:00:00:02:a0:0f:00
19.093,536,04-07-07:00:00:02:a0:0f:00
19.095,536,04-07-07:00:00:02:a0:0f:00
19.098,536,04-07-07:00:00:02:a0:0f:00
19.101,536,04-07-07:00:00:02:a0:0f:00
19.104,536,04-07-07:00:00:02:a0:0f:00
19.106,536,04-07-07:00:00:02:a0:0f:00
19.109,536,04-07-07:00:00:02:a0:0f:00
19.112,536,04-07-07:00:00:02:a0:0f:00
19.115,536,04-07-07:00:00:02:a0:0f:00
19.117,536,04-07-07:00:00:02:a0:0f:00
19.266,9112,04-07-07:00:00:02:a0:0f:00
19.268,536,04-07-07:00:00:02:a0:0f:00
19.271,536,04-07-07:00:00:02:a0:0f:00
19.294,536,04-07-07:00:00:02:a0:0f:00
19.297,536,04-07-07:00:00:02:a0:0f:00
19.300,536,04-07-07:00:00:02:a0:0f:00
19.303,536,04-07-07:00:00:02:a0:0f:00
19.305,536,04-07-07:00:00:02:a0:0f:00
19.308,536,04-07-07:00:00:02:a0:0f:00
19.334,536,04-07-07:00:00:02:a0:0f:00
19.337,536,04-07-07:00:00:02:a0:0f:00
19.340,536,04-07-07:00:00:02:a0:0f:00
19.343,536,04-07-07:00:00:02:a0:0f:00
19.345,536,04-07-07:00:00:02:a0:0f:00
19.348,536,04-07-07:00:00:02:a0:0f:00
19.351,536,04-07-07:00:00:02:a0:0f:00
19.374,536,04-07-07:00:00:02:a0:0f:00
19.377,536,04-07-07:00:00:02:a0:0f:00
19.380,536,04-07-07:00:00:02:a0:0f:00
19.383,536,04-07-07:00:00:02:a0:0f:00
19.385,536,04-07-07:00:00:02:a0:0f:00
19.388,536,04-07-07:00:00:02:a0:0f:00
19.411,536,04-07-07:00:00:02:a0:0f:00
19.414,536,04-07-07:00:00:02:a0:0f:00
19.417,536,04-07-07:00:00:02:a0:0f:00
19.420,536,04-07-07:00:00:02:a0:0f:00
19.422,536,04-07-07:00:00:02:a0:0f:00
19.425,536,04-07-07:00:00:02:a0:0f:00
19.428,536,04-07-07:00:00:02:a0:0f:00
19.448,536,04-07-07:00:00:02:a0:0f:00
19.451,536,04-07-07:00:00:02:a0:0f:00
19.454,536,04-07-07:00:00:02:a0:0f:00
19.457,536,04-07-07:00:00:02:a0:0f:00
19.459,536,04-07-07:00:00:02:a0:0f:00
19.462,536,04-07-07:00:00:02:a0:0f:00
19.465,536,04-07-07:00:00:02:a0:0f:00
19.468,536,04-07-07:00:00:02:a0:0f:00
19.488,536,04-07-07:00:00:02:a0:0f:00
19.491,536,04-07-07:00:00:02:a0:0f:00
19.494,536,04-07-07:00:00:02:a0:0f:00
19.497,536,04-07-07:00:00:02:a0:0f:00
19.499,536,04-07-07:00:00:02:a0:0f:00
19.502,536,04-07-07:00:00:02:a0:0f:00
19.505,536,04-07-07:00:00:02:a0:0f:00
19.508,536,04-07-07:00:00:02:a0:0f:00
19.528,536,04-07-07:00:00:02:a0:0f:00
19.531,536,04-07-07:00:00:02:a0:0f:00
19.534,536,04-07-07:00:00:02:a0:0f:00
19.537,536,04-07-07:00:00:02:a0:0f:00
19.539,536,04-07-07:00:00:02:a0:0f:00
19.542,536,04-07-07:00:00:02:a0:0f:00
