time,imsi,cellId,isServingCell?,RSRP(dBm),RSRQ(dB)
1.356,1,1,1,-69.078,-4.259
1.356,1,2,0,-73.854,-9.034
1.361,1,1,1,-69.079,-4.259
1.361,1,2,0,-73.853,-9.033
1.366,1,1,1,-69.080,-4.259
1.366,1,2,0,-73.852,-9.032
1.371,1,1,1,-69.081,-4.260
1.371,1,2,0,-73.852,-9.031
1.376,1,1,1,-69.081,-4.260
1.376,1,2,0,-73.851,-9.030
1.381,1,1,1,-69.082,-4.261
1.381,1,2,0,-73.850,-9.029
1.386,1,1,1,-69.083,-4.261
1.386,1,2,0,-73.849,-9.027
1.391,1,1,1,-69.083,-4.261
1.391,1,2,0,-73.848,-9.026
1.396,1,1,1,-69.084,-4.262
1.396,1,2,0,-73.848,-9.025
1.401,1,1,1,-69.085,-4.262
1.401,1,2,0,-73.847,-9.024
1.406,1,1,1,-69.086,-4.262
1.406,1,2,0,-73.846,-9.023
1.411,1,1,1,-69.086,-4.263
1.411,1,2,0,-73.845,-9.022
1.416,1,1,1,-69.087,-4.263
1.416,1,2,0,-73.844,-9.020
1.421,1,1,1,-69.088,-4.264
1.421,1,2,0,-73.843,-9.019
1.426,1,1,1,-69.089,-4.264
1.426,1,2,0,-73.843,-9.018
1.431,1,1,1,-69.089,-4.264
1.431,1,2,0,-73.842,-9.017
1.436,1,1,1,-69.090,-4.265
1.436,1,2,0,-73.841,-9.016
1.441,1,1,1,-69.091,-4.265
1.441,1,2,0,-73.840,-9.015
1.446,1,1,1,-69.091,-4.266
1.446,1,2,0,-73.839,-9.013
1.451,1,1,1,-69.092,-4.266
1.451,1,2,0,-73.839,-9.012
1.456,1,1,1,-69.093,-4.266
1.456,1,2,0,-73.838,-9.011
1.461,1,1,1,-69.094,-4.267
1.461,1,2,0,-73.837,-9.010
1.466,1,1,1,-69.094,-4.267
1.466,1,2,0,-73.836,-9.009
1.471,1,1,1,-69.095,-4.267
1.471,1,2,0,-73.835,-9.008
1.476,1,1,1,-69.096,-4.268
1.476,1,2,0,-73.834,-9.006
1.481,1,1,1,-69.097,-4.268
1.481,1,2,0,-73.834,-9.005
1.486,1,1,1,-69.097,-4.269
1.486,1,2,0,-73.833,-9.004
1.491,1,1,1,-69.098,-4.269
1.491,1,2,0,-73.832,-9.003
1.496,1,1,1,-69.099,-4.269
1.496,1,2,0,-73.831,-9.002
1.501,1,1,1,-69.099,-4.270
1.501,1,2,0,-73.830,-9.001
1.506,1,1,1,-69.100,-4.270
1.506,1,2,0,-73.829,-9.000
1.511,1,1,1,-69.101,-4.271
1.511,1,2,0,-73.829,-8.998
1.516,1,1,1,-69.102,-4.271
1.516,1,2,0,-73.828,-8.997
1.521,1,1,1,-69.102,-4.271
1.521,1,2,0,-73.827,-8.996
1.526,1,1,1,-69.103,-4.272
1.526,1,2,0,-73.826,-8.995
1.531,1,1,1,-69.104,-4.272
1.531,1,2,0,-73.825,-8.994
1.536,1,1,1,-69.105,-4.273
1.536,1,2,0,-73.825,-8.993
1.541,1,1,1,-69.105,-4.273
1.541,1,2,0,-73.824,-8.991
1.546,1,1,1,-69.106,-4.273
1.546,1,2,0,-73.823,-8.990
1.551,1,1,1,-69.107,-4.274
1.551,1,2,0,-73.822,-8.989
1.556,1,1,1,-69.107,-4.274
1.556,1,2,0,-73.821,-8.988
1.561,1,1,1,-69.108,-4.275
1.561,1,2,0,-73.820,-8.987
1.566,1,1,1,-69.109,-4.275
1.566,1,2,0,-73.820,-8.986
1.571,1,1,1,-69.110,-4.275
1.571,1,2,0,-73.819,-8.984
1.576,1,1,1,-69.110,-4.276
1.576,1,2,0,-73.818,-8.983
1.581,1,1,1,-69.111,-4.276
1.581,1,2,0,-73.817,-8.982
1.586,1,1,1,-69.112,-4.276
1.586,1,2,0,-73.816,-8.981
1.591,1,1,1,-69.113,-4.277
1.591,1,2,0,-73.815,-8.980
1.596,1,1,1,-69.113,-4.277
1.596,1,2,0,-73.815,-8.979
1.601,1,1,1,-69.114,-4.278
1.601,1,2,0,-73.814,-8.977
1.606,1,1,1,-69.115,-4.278
1.606,1,2,0,-73.813,-8.976
1.611,1,1,1,-69.116,-4.278
1.611,1,2,0,-73.812,-8.975
1.616,1,1,1,-69.116,-4.279
1.616,1,2,0,-73.811,-8.974
1.621,1,1,1,-69.117,-4.279
1.621,1,2,0,-73.811,-8.973
1.626,1,1,1,-69.118,-4.280
1.626,1,2,0,-73.810,-8.972
1.631,1,1,1,-69.118,-4.280
1.631,1,2,0,-73.809,-8.970
1.636,1,1,1,-69.119,-4.280
1.636,1,2,0,-73.808,-8.969
1.641,1,1,1,-69.120,-4.281
1.641,1,2,0,-73.807,-8.968
1.646,1,1,1,-69.121,-4.281
1.646,1,2,0,-73.806,-8.967
1.651,1,1,1,-69.121,-4.282
1.651,1,2,0,-73.806,-8.966
1.656,1,1,1,-69.122,-4.282
1.656,1,2,0,-73.805,-8.965
1.661,1,1,1,-69.123,-4.282
1.661,1,2,0,-73.804,-8.963
1.666,1,1,1,-69.124,-4.283
1.666,1,2,0,-73.803,-8.962
1.671,1,1,1,-69.124,-4.283
1.671,1,2,0,-73.802,-8.961
1.676,1,1,1,-69.125,-4.284
1.676,1,2,0,-73.801,-8.960
1.681,1,1,1,-69.126,-4.284
1.681,1,2,0,-73.801,-8.959
1.686,1,1,1,-69.127,-4.284
1.686,1,2,0,-73.800,-8.958
1.691,1,1,1,-69.127,-4.285
1.691,1,2,0,-73.799,-8.957
1.696,1,1,1,-69.128,-4.285
1.696,1,2,0,-73.798,-8.955
1.701,1,1,1,-69.129,-4.286
1.701,1,2,0,-73.797,-8.954
1.706,1,1,1,-69.130,-4.286
1.706,1,2,0,-73.797,-8.953
1.711,1,1,1,-69.130,-4.286
1.711,1,2,0,-73.796,-8.952
1.716,1,1,1,-69.131,-4.287
1.716,1,2,0,-73.795,-8.951
1.721,1,1,1,-69.132,-4.287
1.721,1,2,0,-73.794,-8.950
1.726,1,1,1,-69.132,-4.288
1.726,1,2,0,-73.793,-8.948
1.731,1,1,1,-69.133,-4.288
1.731,1,2,0,-73.792,-8.947
1.736,1,1,1,-69.134,-4.288
1.736,1,2,0,-73.792,-8.946
1.741,1,1,1,-69.135,-4.289
1.741,1,2,0,-73.791,-8.945
1.746,1,1,1,-69.135,-4.289
1.746,1,2,0,-73.790,-8.944
1.751,1,1,1,-69.136,-4.290
1.751,1,2,0,-73.789,-8.943
1.756,1,1,1,-69.137,-4.290
1.756,1,2,0,-73.788,-8.941
1.761,1,1,1,-69.138,-4.290
1.761,1,2,0,-73.787,-8.940
1.766,1,1,1,-69.138,-4.291
1.766,1,2,0,-73.787,-8.939
1.771,1,1,1,-69.139,-4.291
1.771,1,2,0,-73.786,-8.938
1.776,1,1,1,-69.140,-4.292
1.776,1,2,0,-73.785,-8.937
1.781,1,1,1,-69.141,-4.292
1.781,1,2,0,-73.784,-8.936
1.786,1,1,1,-69.141,-4.292
1.786,1,2,0,-73.783,-8.934
1.791,1,1,1,-69.142,-4.293
1.791,1,2,0,-73.783,-8.933
1.796,1,1,1,-69.143,-4.293
1.796,1,2,0,-73.782,-8.932
1.801,1,1,1,-69.144,-4.294
1.801,1,2,0,-73.781,-8.931
1.806,1,1,1,-69.144,-4.294
1.806,1,2,0,-73.780,-8.930
1.811,1,1,1,-69.145,-4.294
1.811,1,2,0,-73.779,-8.929
1.816,1,1,1,-69.146,-4.295
1.816,1,2,0,-73.778,-8.927
1.821,1,1,1,-69.147,-4.295
1.821,1,2,0,-73.778,-8.926
1.826,1,1,1,-69.147,-4.296
1.826,1,2,0,-73.777,-8.925
1.831,1,1,1,-69.148,-4.296
1.831,1,2,0,-73.776,-8.924
1.836,1,1,1,-69.149,-4.296
1.836,1,2,0,-73.775,-8.923
1.841,1,1,1,-69.150,-4.297
1.841,1,2,0,-73.774,-8.922
1.846,1,1,1,-69.150,-4.297
1.846,1,2,0,-73.773,-8.920
1.851,1,1,1,-69.151,-4.298
1.851,1,2,0,-73.773,-8.919
1.856,1,1,1,-69.152,-4.298
1.856,1,2,0,-73.772,-8.918
1.861,1,1,1,-69.152,-4.298
1.861,1,2,0,-73.771,-8.917
1.866,1,1,1,-69.153,-4.299
1.866,1,2,0,-73.770,-8.916
1.871,1,1,1,-69.154,-4.299
1.871,1,2,0,-73.769,-8.915
1.876,1,1,1,-69.155,-4.300
1.876,1,2,0,-73.769,-8.913
1.881,1,1,1,-69.155,-4.300
1.881,1,2,0,-73.768,-8.912
1.886,1,1,1,-69.156,-4.300
1.886,1,2,0,-73.767,-8.911
1.891,1,1,1,-69.157,-4.301
1.891,1,2,0,-73.766,-8.910
1.896,1,1,1,-69.158,-4.301
1.896,1,2,0,-73.765,-8.909
1.901,1,1,1,-69.158,-4.302
1.901,1,2,0,-73.764,-8.908
1.906,1,1,1,-69.159,-4.302
1.906,1,2,0,-73.764,-8.906
1.911,1,1,1,-69.160,-4.302
1.911,1,2,0,-73.763,-8.905
1.916,1,1,1,-69.161,-4.303
1.916,1,2,0,-73.762,-8.904
1.921,1,1,1,-69.161,-4.303
1.921,1,2,0,-73.761,-8.903
